Entity,Value
Afghanistan,990.46967
Albania,8032.0703
Algeria,16237.188
Angola,2680.3416
Antigua and Barbuda,32266.113
Argentina,21513.947
Armenia,16027.844
Australia,62595.04
Austria,45208.31
Azerbaijan,20137.387
Bahamas,30598.396
Bahrain,164932.52
Bangladesh,3048.3135
Barbados,20013.902
Belarus,34632.566
Belgium,54870.88
Belize,9012.318
Benin,1896.6274
Bhutan,18780.541
Bolivia,8598.6455
Bosnia and Herzegovina,26735.992
Botswana,9508.218
Brazil,18486.229
Brunei,118211.914
Bulgaria,28381.64
Burkina Faso,1020.26306
Burundi,277.14117
Cambodia,4590.6875
Cameroon,1251.8386
Canada,97784.54
Cape Verde,5861.1255
Central African Republic,279.59027
Chad,440.09256
Chile,26245.264
China,34514.457
Colombia,11645.494
Comoros,2092.1536
Congo,2154.2866
Costa Rica,9004.632
Cote d'Ivoire,2488.0098
Croatia,26615.488
Cuba,7640.304
Cyprus,24551.195
Czechia,36589.773
Democratic Republic of Congo,382.4757
Denmark,32832.465
Djibouti,3056.166
Dominica,10662.959
Dominican Republic,11526.293
East Timor,2000.2352
Ecuador,12722.083
Egypt,9660.864
El Salvador,7157.062
Equatorial Guinea,15974.835
Eritrea,872.5426
Estonia,40986.305
Eswatini,5516.521
Ethiopia,693.36096
Fiji,7436.558
Finland,59564.754
France,37865.61
French Guiana,0
Gabon,6477.258
Gambia,800.2949
Georgia,16434.389
Germany,37792.51
Ghana,3075.1707
Greece,31965.838
Greenland,46980.75
Grenada,12220.67
Guatemala,5010.241
Guinea,1534.3684
Guinea-Bissau,689.11017
Guyana,13494.394
Haiti,1021.7258
Honduras,4877.1445
Hungary,26952.049
Iceland,159676.39
India,7812.9277
Indonesia,10528.601
Iran,39203.61
Iraq,16002.357
Ireland,34593.98
Israel,29591.316
Italy,28584.518
Jamaica,12336.739
Japan,38745.04
Jordan,9644.626
Kazakhstan,41865.195
Kenya,1607.9135
Kiribati,2513.8413
Kosovo,15770.582
Kuwait,106398.59
Kyrgyzstan,8082.865
Laos,10100.14
Latvia,20722.363
Lebanon,12632.702
Lesotho,2378.8113
Liberia,533.9603
Libya,29554.363
Lithuania,25660.39
Luxembourg,59047.88
Madagascar,532.2019
Malawi,525.15204
Malaysia,38865.867
Maldives,14912.831
Mali,1262.197
Malta,71107.69
Mauritania,4142.4756
Mauritius,17639.248
Mexico,17653.777
Micronesia (country),4428.093
Moldova,11903.726
Mongolia,19674.547
Montenegro,18582.63
Morocco,7256.846
Mozambique,1696.6578
Myanmar,2457.1128
Namibia,6369.585
Nauru,29242.105
Nepal,1935.3121
Netherlands,50824.402
New Caledonia,63832.758
New Zealand,44711.75
Nicaragua,3124.2483
Niger,519.35846
Nigeria,2342.6387
North Korea,6983.9766
North Macedonia,16219.917
Norway,99634.31
Oman,84610.64
Pakistan,3535.5425
Palestine,4393.3086
Panama,22862.531
Papua New Guinea,2573.4968
Paraguay,7541.671
Peru,10941.455
Philippines,5633.132
Poland,29205.824
Portugal,25921.791
Puerto Rico,25288.041
Qatar,214520.3
Romania,18694.158
Russia,62485.312
Rwanda,529.7918
Saint Kitts and Nevis,23859.037
Saint Lucia,13926.932
Saint Vincent and the Grenadines,10916.865
Samoa,6879.8896
Sao Tome and Principe,2600.9995
Saudi Arabia,96883.31
Senegal,2433.2778
Serbia,26332.174
Seychelles,28967.066
Sierra Leone,674.46545
Singapore,180701.45
Slovakia,32882.68
Slovenia,37360.676
Solomon Islands,1657.2433
Somalia,190.11856
South Africa,21286.549
South Korea,69922.41
South Sudan,613.11176
Spain,33901.656
Sri Lanka,4819.1953
Sudan,1800.9769
Suriname,17846.547
Sweden,57509.574
Switzerland,38025.83
Syria,3976.7585
Taiwan,54012.633
Tajikistan,4745.2627
Tanzania,1199.0846
Thailand,19825.014
Togo,1329.8417
Tonga,6819.3506
Trinidad and Tobago,105988.44
Tunisia,9892.207
Turkey,23927.826
Turkmenistan,49524.95
Tuvalu,0
Uganda,660.0664
Ukraine,15875.597
United Arab Emirates,138026.48
United Kingdom,28015.771
United States,76799.57
Uruguay,13409.495
Uzbekistan,19129.268
Vanuatu,3790.5647
Venezuela,24591.875
Vietnam,14618.14
Western Sahara,2020.2874
Yemen,875.5177
Zambia,2422.2598
Zimbabwe,3181.361
